Name,VideoPath,VideoLength,Datarate,AspectRatio,format.filename,format.nb_streams,format.nb_programs,format.format_name,format.format_long_name,format.start_time,format.duration,format.size,format.bit_rate,format.probe_score,format.tags.creation_time,format.tags.premiere_version,stream.index,stream.codec_name,stream.codec_long_name,stream.profile,stream.codec_type,stream.codec_tag_string,stream.codec_tag,stream.width,stream.height,stream.coded_width,stream.coded_height,stream.closed_captions,stream.film_grain,stream.has_b_frames,stream.sample_aspect_ratio,stream.display_aspect_ratio,stream.pix_fmt,stream.level,stream.color_range,stream.color_space,stream.chroma_location,stream.field_order,stream.refs,stream.id,stream.r_frame_rate,stream.avg_frame_rate,stream.time_base,stream.start_pts,stream.start_time,stream.duration_ts,stream.duration,stream.bit_rate,stream.bits_per_raw_sample,stream.nb_frames,stream.disposition.default,stream.disposition.dub,stream.disposition.original,stream.disposition.comment,stream.disposition.lyrics,stream.disposition.karaoke,stream.disposition.forced,stream.disposition.hearing_impaired,stream.disposition.visual_impaired,stream.disposition.clean_effects,stream.disposition.attached_pic,stream.disposition.timed_thumbnails,stream.disposition.captions,stream.disposition.descriptions,stream.disposition.metadata,stream.disposition.dependent,stream.disposition.still_image,stream.tags.creation_time,stream.tags.language,stream.tags.handler_name,stream.tags.vendor_id,stream.tags.encoder
SZTEN103a,./video/SZTEN103a.mov,60000,54063,4:3,SZTEN103a.mov,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.000000,2400.000000,16569301254,55231004,100,2006-01-03T15:47:54.000000Z,Created with Adobe Premiere 6.0,0,mjpeg,Motion JPEG,Baseline,video,mjpa,0x61706a6d,720,576,720,576,0,0,0,15:16,75:64,yuvj422p,-99,pc,bt470bg,center,tt,1,0x1,25/1,25/1,1/25,0,0.000000,60000,2400.000000,55221390,8,60000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006-01-03T15:47:54.000000Z,eng,Apple Video Media Handler,appl,Motion JPEG A
SZTEN102d,./video/SZTEN102d.mov,22500,41921,4:3,SZTEN102d.mov,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.000000,900.000000,6010575366,53427336,100,2006-06-06T12:40:30.000000Z,Created with Adobe Premiere 6.0,0,mjpeg,Motion JPEG,Baseline,video,mjpa,0x61706a6d,720,576,720,576,0,0,0,15:16,75:64,yuvj422p,-99,pc,bt470bg,center,tt,1,0x1,25/1,25/1,1/25,0,0.000000,22500,900.000000,53417699,8,22500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006-06-06T12:40:30.000000Z,eng,Apple Video Media Handler,appl,Motion JPEG A
SZTEA202b,./video/SZTEA202b.mov,68456,27366,4:3,SZTEA202b.mov,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.000000,2738.240000,9728151606,28421618,100,2005-11-01T20:31:56.000000Z,Created with Adobe Premiere 6.0,0,mjpeg,Motion JPEG,Baseline,video,mjpa,0x61706a6d,720,576,720,576,0,0,0,15:16,75:64,yuvj422p,-99,pc,bt470bg,center,tt,1,0x1,25/1,25/1,1/25,0,0.000000,68456,2738.240000,28412006,8,68456,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-11-01T20:31:56.000000Z,eng,Apple Video Media Handler,appl,Motion JPEG A
SZTEN102a,./video/SZTEN102a.mov,67500,40643,4:3,SZTEN102a.mov,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.000000,2700.000000,12969441894,38427975,100,2005-11-23T05:06:56.000000Z,Created with Adobe Premiere 6.0,0,mjpeg,Motion JPEG,Baseline,video,mjpa,0x61706a6d,720,576,720,576,0,0,0,15:16,75:64,yuvj422p,-99,pc,bt470bg,center,tt,1,0x1,25/1,25/1,1/25,0,0.000000,67500,2700.000000,38418363,8,67500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-11-23T05:06:57.000000Z,eng,Apple Video Media Handler,appl,Motion JPEG A
SZTEN102c,./video/SZTEN102c.mov,45000,36545,4:3,SZTEN102c.mov,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.000000,1800.000000,8673647382,38549543,100,2006-05-26T08:36:12.000000Z,Created with Adobe Premiere 6.0,0,mjpeg,Motion JPEG,Baseline,video,mjpa,0x61706a6d,720,576,720,576,0,0,0,15:16,75:64,yuvj422p,-99,pc,bt470bg,center,tt,1,0x1,25/1,25/1,1/25,0,0.000000,45000,1800.000000,38539925,8,45000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006-05-26T08:36:12.000000Z,eng,Apple Video Media Handler,appl,Motion JPEG A
SZTEA202a,./video/SZTEA202a.mov,54937,28809,4:3,SZTEA202a.mov,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.000000,2197.480000,8059578806,29341168,100,2005-11-01T04:17:19.000000Z,Created with Adobe Premiere 6.0,0,mjpeg,Motion JPEG,Baseline,video,mjpa,0x61706a6d,720,576,720,576,0,0,0,15:16,75:64,yuvj422p,-99,pc,bt470bg,center,tt,1,0x1,25/1,25/1,1/25,0,0.000000,54937,2197.480000,29331553,8,54937,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-11-01T04:17:19.000000Z,eng,Apple Video Media Handler,appl,Motion JPEG A
SZTEN102b,./video/SZTEN102b.mov,45000,30782,4:3,SZTEN102b.mov,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.000000,1800.000000,7160828118,31825902,100,2005-12-02T10:40:02.000000Z,Created with Adobe Premiere 6.0,0,mjpeg,Motion JPEG,Baseline,video,mjpa,0x61706a6d,720,576,720,576,0,0,0,15:16,75:64,yuvj422p,-99,pc,bt470bg,center,tt,1,0x1,25/1,25/1,1/25,0,0.000000,45000,1800.000000,31816284,8,45000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-12-02T10:40:02.000000Z,eng,Apple Video Media Handler,appl,Motion JPEG A
SZTEN101c,./video/SZTEN101c.mov,45000,35091,4:3,SZTEN101c.mov,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.000000,1800.000000,9391775494,41741224,100,2005-12-13T10:20:14.000000Z,Created with Adobe Premiere 6.0,0,mjpeg,Motion JPEG,Baseline,video,mjpa,0x61706a6d,720,576,720,576,0,0,0,15:16,75:64,yuvj422p,-99,pc,bt470bg,center,tt,1,0x1,25/1,25/1,1/25,0,0.000000,45000,1800.000000,41731605,8,45000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-12-13T10:20:14.000000Z,eng,Apple Video Media Handler,appl,Motion JPEG A
SZTEA104a,./video/SZTEA104a.mov,138462,54794,4:3,SZTEA104a.mov,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.000000,5538.480000,38764063030,55992348,100,2005-11-03T02:34:55.000000Z,Created with Adobe Premiere 6.0,0,mjpeg,Motion JPEG,Baseline,video,mjpa,0x61706a6d,720,576,720,576,0,0,0,15:16,75:64,yuvj422p,-99,pc,bt470bg,center,tt,1,0x1,25/1,25/1,1/25,0,0.000000,138462,5538.480000,55982742,8,138462,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-11-03T02:34:55.000000Z,eng,Apple Video Media Handler,appl,Motion JPEG A
SZTEA201a,./video/SZTEA201a.mov,55789,30666,4:3,SZTEA201a.mov,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.000000,2231.560000,8533400341,30591694,100,2005-11-07T22:35:50.000000Z,Created with Adobe Premiere 6.0,0,mjpeg,Motion JPEG,Baseline,video,mjpa,0x61706a6d,720,576,720,576,0,0,0,15:16,75:64,yuvj422p,-99,pc,bt470bg,center,tt,1,0x1,25/1,25/1,1/25,0,0.000000,55789,2231.560000,30590396,8,55789,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-11-07T22:35:50.000000Z,eng,Apple Video Media Handler,appl,Motion JPEG A
SZTEN101b,./video/SZTEN101b.mov,45000,38708,4:3,SZTEN101b.mov,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.000000,1800.000000,8942470550,39744313,100,2005-12-05T15:42:25.000000Z,Created with Adobe Premiere 6.0,0,mjpeg,Motion JPEG,Baseline,video,mjpa,0x61706a6d,720,576,720,576,0,0,0,15:16,75:64,yuvj422p,-99,pc,bt470bg,center,tt,1,0x1,25/1,25/1,1/25,0,0.000000,45000,1800.000000,39734695,8,45000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-12-05T15:42:25.000000Z,eng,Apple Video Media Handler,appl,Motion JPEG A
SZTEA201b,./video/SZTEA201b.mov,74656,30515,4:3,SZTEA201b.mov,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.000000,2986.240000,10584312597,28354888,100,2005-11-08T00:15:43.000000Z,Created with Adobe Premiere 6.0,0,mjpeg,Motion JPEG,Baseline,video,mjpa,0x61706a6d,720,576,720,576,0,0,0,15:16,75:64,yuvj422p,-99,pc,bt470bg,center,tt,1,0x1,25/1,25/1,1/25,0,0.000000,74656,2986.240000,28353780,8,74656,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-11-08T00:15:43.000000Z,eng,Apple Video Media Handler,appl,Motion JPEG A
SZTEN101a,./video/SZTEN101a.mov,22500,33032,4:3,SZTEN101a.mov,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.000000,900.000000,3871131430,34410057,100,2005-12-02T13:42:06.000000Z,Created with Adobe Premiere 6.0,0,mjpeg,Motion JPEG,Baseline,video,mjpa,0x61706a6d,720,576,720,576,0,0,0,15:16,75:64,yuvj422p,-99,pc,bt470bg,center,tt,1,0x1,25/1,25/1,1/25,0,0.000000,22500,900.000000,34403620,8,22500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-12-02T13:42:06.000000Z,eng,Apple Video Media Handler,appl,Motion JPEG A
SZTEN101d,./video/SZTEN101d.mov,45000,42833,4:3,SZTEN101d.mov,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.000000,1800.000000,8437728246,37501014,100,2005-12-15T11:12:39.000000Z,Created with Adobe Premiere 6.0,0,mjpeg,Motion JPEG,Baseline,video,mjpa,0x61706a6d,720,576,720,576,0,0,0,15:16,75:64,yuvj422p,-99,pc,bt470bg,center,tt,1,0x1,25/1,25/1,1/25,0,0.000000,45000,1800.000000,37491395,8,45000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-12-15T11:12:39.000000Z,eng,Apple Video Media Handler,appl,Motion JPEG A
SZTEA105a,./video/SZTEA105a.mov,53200,37162,4:3,SZTEA105a.mov,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.000000,2128.000000,10149836918,38157281,100,2006-05-24T11:54:45.000000Z,Created with Adobe Premiere 6.0,0,mjpeg,Motion JPEG,Baseline,video,mjpa,0x61706a6d,720,576,720,576,0,0,0,15:16,75:64,yuvj422p,-99,pc,bt470bg,center,tt,1,0x1,25/1,25/1,1/25,0,0.000000,53200,2128.000000,38147666,8,53200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006-05-24T11:54:45.000000Z,eng,Apple Video Media Handler,appl,Motion JPEG A
SZTEN202a,./video/SZTEN202a.mov,67500,32644,4:3,SZTEN202a.mov,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.000000,2700.000000,10610581222,31438759,100,2005-11-30T13:59:35.000000Z,Created with Adobe Premiere 6.0,0,mjpeg,Motion JPEG,Baseline,video,mjpa,0x61706a6d,720,576,720,576,0,0,0,15:16,75:64,yuvj422p,-99,pc,bt470bg,center,tt,1,0x1,25/1,25/1,1/25,0,0.000000,67500,2700.000000,31429146,8,67500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-11-30T13:59:35.000000Z,eng,Apple Video Media Handler,appl,Motion JPEG A
SZTEA102b,./video/SZTEA102b.mov,68904,33519,4:3,SZTEA102b.mov,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.000000,2756.160000,11591753974,33646098,100,2005-10-29T02:17:10.000000Z,Created with Adobe Premiere 6.0,0,mjpeg,Motion JPEG,Baseline,video,mjpa,0x61706a6d,720,576,720,576,0,0,0,15:16,75:64,yuvj422p,-99,pc,bt470bg,center,tt,1,0x1,25/1,25/1,1/25,0,0.000000,68904,2756.160000,33636486,8,68904,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-10-29T02:17:10.000000Z,eng,Apple Video Media Handler,appl,Motion JPEG A
SZTEN202b,./video/SZTEN202b.mov,45000,25758,4:3,SZTEN202b.mov,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.000000,1800.000000,5410184518,24045264,100,2005-12-01T12:30:45.000000Z,Created with Adobe Premiere 6.0,0,mjpeg,Motion JPEG,Baseline,video,mjpa,0x61706a6d,720,576,720,576,0,0,0,15:16,75:64,yuvj422p,-99,pc,bt470bg,center,tt,1,0x1,25/1,25/1,1/25,0,0.000000,45000,1800.000000,24035646,8,45000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-12-01T12:30:45.000000Z,eng,Apple Video Media Handler,appl,Motion JPEG A
SZTEA102a,./video/SZTEA102a.mov,54995,37659,4:3,SZTEA102a.mov,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.000000,2199.800000,10574270662,38455389,100,2005-10-28T22:30:23.000000Z,Created with Adobe Premiere 6.0,0,mjpeg,Motion JPEG,Baseline,video,mjpa,0x61706a6d,720,576,720,576,0,0,0,15:16,75:64,yuvj422p,-99,pc,bt470bg,center,tt,1,0x1,25/1,25/1,1/25,0,0.000000,54995,2199.800000,38445774,8,54995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-10-28T22:30:23.000000Z,eng,Apple Video Media Handler,appl,Motion JPEG A
SZTEN202c,./video/SZTEN202c.mov,30000,32804,4:3,SZTEN202c.mov,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.000000,1200.000000,4820831206,32138874,100,2006-05-26T10:06:09.000000Z,Created with Adobe Premiere 6.0,0,mjpeg,Motion JPEG,Baseline,video,mjpa,0x61706a6d,720,576,720,576,0,0,0,15:16,75:64,yuvj422p,-99,pc,bt470bg,center,tt,1,0x1,25/1,25/1,1/25,0,0.000000,30000,1200.000000,32129247,8,30000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006-05-26T10:06:09.000000Z,eng,Apple Video Media Handler,appl,Motion JPEG A
SZTEA103a,./video/SZTEA103a.mov,70873,35964,4:3,SZTEA103a.mov,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.000000,2834.920000,12497684966,35267831,100,2005-11-02T03:25:45.000000Z,Created with Adobe Premiere 6.0,0,mjpeg,Motion JPEG,Baseline,video,mjpa,0x61706a6d,720,576,720,576,0,0,0,15:16,75:64,yuvj422p,-99,pc,bt470bg,center,tt,1,0x1,25/1,25/1,1/25,0,0.000000,70873,2834.920000,35258219,8,70873,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-11-02T03:25:45.000000Z,eng,Apple Video Media Handler,appl,Motion JPEG A
SZTEN202d,./video/SZTEN202d.mov,37500,29541,4:3,SZTEN202d.mov,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.000000,1500.000000,5739122950,30608655,100,2006-05-26T12:24:44.000000Z,Created with Adobe Premiere 6.0,0,mjpeg,Motion JPEG,Baseline,video,mjpa,0x61706a6d,720,576,720,576,0,0,0,15:16,75:64,yuvj422p,-99,pc,bt470bg,center,tt,1,0x1,25/1,25/1,1/25,0,0.000000,37500,1500.000000,30599033,8,37500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006-05-26T12:24:44.000000Z,eng,Apple Video Media Handler,appl,Motion JPEG A
SZTEN203a,./video/SZTEN203a.mov,60000,29380,4:3,SZTEN203a.mov,1,0,"mov,mp4,m4a,3gp,3g2,mj2",QuickTime / MOV,0.000000,2400.000000,9192840838,30642802,100,2006-01-04T14:48:35.000000Z,Created with Adobe Premiere 6.0,0,mjpeg,Motion JPEG,Baseline,video,mjpa,0x61706a6d,720,576,720,576,0,0,0,15:16,75:64,yuvj422p,-99,pc,bt470bg,center,tt,1,0x1,25/1,25/1,1/25,0,0.000000,60000,2400.000000,30633188,8,60000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006-01-04T14:48:35.000000Z,eng,Apple Video Media Handler,appl,Motion JPEG A
